,Solar,startTime,totalRenewable,total,percentRenewable
544,0.0,202001231600,0.0,1982.0,0
545,0.0,202001231700,0.0,1825.0,0
546,0.0,202001231800,0.0,1690.0,0
547,0.0,202001231900,0.0,1673.0,0
548,0.0,202001232000,0.0,1720.0,0
549,0.0,202001232100,0.0,1683.0,0
550,0.0,202001232200,0.0,1402.0,0
551,0.0,202001232300,0.0,1359.0,0
552,0.0,202001240000,0.0,1262.0,0
553,0.0,202001240100,0.0,1249.0,0
554,0.0,202001240200,0.0,1213.0,0
555,0.0,202001240300,0.0,1269.0,0
556,0.0,202001240400,0.0,1395.0,0
557,0.0,202001240500,0.0,1880.0,0
558,0.0,202001240600,0.0,2076.0,0
559,11.0,202001240700,11.0,2159.0,1
560,31.0,202001240800,31.0,2127.0,1
561,50.0,202001240900,50.0,1945.0,3
562,65.0,202001241000,65.0,1903.0,3
563,66.0,202001241100,66.0,1826.0,4
564,61.0,202001241200,61.0,1772.0,3
565,43.0,202001241300,43.0,1725.0,2
566,20.0,202001241400,20.0,1778.0,1
567,3.0,202001241500,3.0,1891.0,0
568,0.0,202001241600,0.0,1991.0,0
569,0.0,202001241700,0.0,1914.0,0
570,0.0,202001241800,0.0,1935.0,0
571,0.0,202001241900,0.0,1801.0,0
572,0.0,202001242000,0.0,1616.0,0
573,0.0,202001242100,0.0,1556.0,0
574,0.0,202001242200,0.0,1439.0,0
575,0.0,202001242300,0.0,1478.0,0
576,0.0,202001250000,0.0,1481.0,0
577,0.0,202001250100,0.0,1406.0,0
578,0.0,202001250200,0.0,1400.0,0
579,0.0,202001250300,0.0,1444.0,0
580,0.0,202001250400,0.0,1431.0,0
581,0.0,202001250500,0.0,1765.0,0
582,0.0,202001250600,0.0,1771.0,0
583,9.0,202001250700,9.0,1782.0,1
584,28.0,202001250800,28.0,1855.0,2
585,41.0,202001250900,41.0,1856.0,2
586,51.0,202001251000,51.0,2045.0,2
587,45.0,202001251100,45.0,2115.0,2
588,52.0,202001251200,52.0,1933.0,3
589,38.0,202001251300,38.0,1911.0,2
590,19.0,202001251400,19.0,1742.0,1
591,3.0,202001251500,3.0,1892.0,0
592,0.0,202001251600,0.0,1891.0,0
593,0.0,202001251700,0.0,1978.0,0
594,0.0,202001251800,0.0,1989.0,0
595,0.0,202001251900,0.0,1898.0,0
596,0.0,202001252000,0.0,1622.0,0
597,0.0,202001252100,0.0,1598.0,0
598,0.0,202001252200,0.0,1458.0,0
599,0.0,202001252300,0.0,1422.0,0
600,0.0,202001260000,0.0,1352.0,0
601,0.0,202001260100,0.0,1303.0,0
602,0.0,202001260200,0.0,1307.0,0
603,0.0,202001260300,0.0,1312.0,0
604,0.0,202001260400,0.0,1328.0,0
605,0.0,202001260500,0.0,1471.0,0
606,0.0,202001260600,0.0,1673.0,0
607,9.0,202001260700,9.0,1765.0,1
608,25.0,202001260800,25.0,1768.0,1
609,40.0,202001260900,40.0,1865.0,2
610,46.0,202001261000,46.0,1799.0,3
611,44.0,202001261100,44.0,1718.0,3
612,53.0,202001261200,53.0,1764.0,3
613,37.0,202001261300,37.0,1784.0,2
614,17.0,202001261400,17.0,1723.0,1
615,2.0,202001261500,2.0,1742.0,0
616,0.0,202001261600,0.0,1828.0,0
617,0.0,202001261700,0.0,1879.0,0
