,Biomass,Fossil Gas,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Other,Other renewable,Waste,Wind Onshore,startTime,endTime,renewableTotal,renewableTotalWS,nonRenewableTotal,total,percentRenewable,percentRenewableWS
197,,342.0,,1499.0,16333.0,26.0,,,1284.0,202001090500,202001090600,19116.0,1284.0,368.0,19484.0,98,7
198,,338.0,,1523.0,18611.0,25.0,,,1177.0,202001090600,202001090700,21311.0,1177.0,363.0,21674.0,98,5
199,,338.0,,1522.0,19950.0,25.0,,,1143.0,202001090700,202001090800,22615.0,1143.0,363.0,22978.0,98,5
200,,333.0,,1504.0,19908.0,25.0,,,1099.0,202001090800,202001090900,22511.0,1099.0,358.0,22869.0,98,5
201,,339.0,,1500.0,19972.0,25.0,,,1012.0,202001090900,202001091000,22484.0,1012.0,364.0,22848.0,98,4
202,,340.0,,1492.0,19793.0,23.0,,,968.0,202001091000,202001091100,22253.0,968.0,363.0,22616.0,98,4
203,,301.0,,1471.0,19441.0,24.0,,,884.0,202001091100,202001091200,21796.0,884.0,325.0,22121.0,99,4
204,,309.0,,1476.0,19445.0,23.0,,,829.0,202001091200,202001091300,21750.0,829.0,332.0,22082.0,98,4
205,,334.0,,1472.0,20144.0,22.0,,,730.0,202001091300,202001091400,22346.0,730.0,356.0,22702.0,98,3
206,,336.0,,1466.0,20741.0,23.0,,,810.0,202001091400,202001091500,23017.0,810.0,359.0,23376.0,98,3
207,,321.0,,1484.0,20654.0,21.0,,,866.0,202001091500,202001091600,23004.0,866.0,342.0,23346.0,99,4
208,,326.0,,1482.0,20522.0,20.0,,,856.0,202001091600,202001091700,22860.0,856.0,346.0,23206.0,99,4
209,,327.0,,1477.0,20425.0,20.0,,,875.0,202001091700,202001091800,22777.0,875.0,347.0,23124.0,98,4
210,,337.0,,1468.0,19845.0,20.0,,,855.0,202001091800,202001091900,22168.0,855.0,357.0,22525.0,98,4
211,,346.0,,1465.0,18326.0,19.0,,,858.0,202001091900,202001092000,20649.0,858.0,365.0,21014.0,98,4
